species,decimalLatitude,decimalLongitude,month,year,gbifID
Icterus auratus,21.566221,-88.088295,3,2024,5704199621
Icterus auratus,19.741394,-90.560844,5,2017,5704195593
Icterus auratus,20.110176,-87.592575,2,2017,5703981863
Icterus auratus,20.652357,-87.124825,11,2024,5703756486
Icterus auratus,19.72106,-87.81492,6,1991,5703634650
Icterus auratus,20.59115,-88.45639,3,2022,5703298016
Icterus auratus,21.129305,-86.826485,7,2024,5703268438
Icterus auratus,21.000937,-89.089294,5,2018,5703014464
Icterus auratus,21.165947,-86.85354,9,2024,5703012053
Icterus auratus,20.645792,-87.63208,6,1995,5702937343
Icterus auratus,20.982946,-89.65445,3,1996,5702684382
Icterus auratus,21.03358,-89.54438,4,2024,5702671873
Icterus auratus,20.410519,-89.78764,12,2024,5702313137
Icterus auratus,21.317362,-88.27245,11,2022,5702168340
Icterus auratus,18.789309,-90.6509,3,2024,5702038615
Icterus auratus,20.597221,-88.13944,6,2016,5702010855
Icterus auratus,21.415989,-88.42919,7,2019,5701928353
Icterus auratus,20.115154,-87.51981,2,2010,5701850346
Icterus auratus,20.656599,-87.043365,2,2024,5701512255
Icterus auratus,21.35354,-87.43044,4,2018,5701358801
Icterus auratus,21.1448,-86.8188,6,2016,5701350265
Icterus auratus,21.232542,-87.65315,6,2014,5701257022
Icterus auratus,20.487137,-87.73777,1,2024,5701003926
Icterus auratus,21.295553,-87.653755,5,2016,5700951737
Icterus auratus,20.284721,-87.39668,3,2024,5700839278
Icterus auratus,20.82505,-89.567474,3,2017,5700714294
Icterus auratus,20.281933,-87.392586,2,2024,5700619237
Icterus auratus,21.427963,-87.8747,2,2017,5700528231
Icterus auratus,20.987143,-86.83298,6,2024,5700487434
Icterus auratus,20.079626,-87.617355,6,2024,5700454891
Icterus auratus,20.788609,-89.59013,1,2024,5700426202
Icterus auratus,20.992456,-89.569984,1,2017,5700424933
Icterus auratus,20.449503,-88.22369,3,2019,5700226162
Icterus auratus,18.757233,-88.34098,2,2015,5700091164
Icterus auratus,20.476680000000002,-86.96919,1,2024,5699912762
Icterus auratus,20.692623,-89.74814,5,2019,5699671443
Icterus auratus,20.670387,-87.03545,2,2024,5699583911
Icterus auratus,20.879314,-90.39117,1,2024,5699230008
Icterus auratus,20.502262,-87.23288,1,2024,5699210214
Icterus auratus,21.009216,-87.03606,6,2022,5699206908
Icterus auratus,20.769417,-86.9478,5,2023,5699206008
Icterus auratus,20.395987,-90.03647,2,2024,5699154227
Icterus auratus,21.281479,-89.63478,12,2024,5698386975
Icterus auratus,20.982677,-89.66539,2,2024,5698342736
Icterus auratus,18.32924,-88.32695,2,2024,5698123801
Icterus auratus,20.988382,-86.83993,8,2024,5698072839
Icterus auratus,20.93076,-88.18697,4,2015,5697884798
Icterus auratus,20.176886,-89.57648,9,2024,5697877414
Icterus auratus,21.582294,-88.15711,2,2018,5697864087
Icterus auratus,20.894087,-90.38658,1,2024,5697847936
Icterus auratus,18.33493,-88.12518,1,2019,5697543573
Icterus auratus,20.871773,-86.89927,2,2024,5697422130
Icterus auratus,21.088638,-89.513626,6,2024,5697410740
Icterus auratus,20.9763,-89.05115,12,2019,5697286017
Icterus auratus,20.667643,-88.466545,12,2024,5697177389
Icterus auratus,20.72489,-88.20769,1,2014,5697103521
Icterus auratus,19.845217,-88.13692,4,2018,5696949589
Icterus auratus,21.514807,-87.679504,4,2015,5696934132
Icterus auratus,20.86176,-87.04764,1,2024,5696822258
Icterus auratus,21.15745,-90.05357,11,2024,5696808053
Icterus auratus,19.828468,-90.4314,3,2024,5696781909
Icterus auratus,21.180317,-86.85467,5,2020,5696381211
Icterus auratus,20.197025,-87.457184,3,2024,5695967452
Icterus auratus,20.381119,-89.58721,7,2024,5695866390
Icterus auratus,19.815472,-90.577194,3,2016,5695774502
Icterus auratus,19.926323,-88.30458,3,2017,5695730285
Icterus auratus,21.402264,-87.877495,4,2017,5695730118
Icterus auratus,20.608547,-88.26631,6,2024,5695719579
Icterus auratus,20.388165,-87.32109,11,2010,5695661265
Icterus auratus,20.766628,-86.95295,2,2018,5695564423
Icterus auratus,21.018816,-86.85482,7,1997,5695353967
Icterus auratus,20.64309,-87.06017,12,2024,5695309791
Icterus auratus,20.491884,-87.73879,2,2024,5695049097
Icterus auratus,18.711817,-88.380325,2,2018,5695040964
Icterus auratus,20.590605,-88.447525,4,2021,5694664670
Icterus auratus,20.6829,-88.2288,1,2014,5694177012
Icterus auratus,20.263378,-87.40229,7,2024,5693860336
Icterus auratus,21.131863,-89.74182,7,2021,5693632865
Icterus auratus,20.569006,-88.78847,12,2024,5693590723
Icterus auratus,20.209301,-87.47344,11,2024,5693373106
Icterus auratus,18.510448,-89.40503,2,2010,5693304776
Icterus auratus,20.673498,-89.77306,4,2016,5693246233
Icterus auratus,21.149794,-89.59471,1,2019,5693165336
Icterus auratus,21.139442,-86.82066,2,2024,5693052243
Icterus auratus,20.870815,-87.079704,2,2024,5693049241
Icterus auratus,21.20136,-86.82428,2,2016,5692450601
Icterus auratus,21.305706,-88.739876,2,2024,5692010244
Icterus auratus,20.114038,-89.656296,2,2019,5691996052
Icterus auratus,20.856705,-87.081795,4,2015,5691992654
Icterus auratus,20.662903,-87.04529,12,2024,5691964009
Icterus auratus,20.246597,-87.496635,9,2024,5691954286
Icterus auratus,20.372377,-87.00235,1,2024,5691635696
Icterus auratus,21.155893,-89.63744,1,2024,5691625057
Icterus auratus,21.222,-89.655,6,2024,5691289448
Icterus auratus,19.762177,-90.22086,4,2024,5691241691
Icterus auratus,21.157179,-86.85082,3,2024,5690980546
Icterus auratus,21.026644,-89.55804,11,2017,5690905637
Icterus auratus,20.768967,-86.94974,3,2023,5690764225
Icterus auratus,20.666494,-89.75515,2,2016,5690719891
Icterus auratus,20.642138,-89.63095,10,2024,5690640051
Icterus auratus,21.148954,-88.16764,1,2014,5690637323
Icterus auratus,19.921793,-87.77248,11,2024,5690107781
Icterus auratus,19.476105,-88.0544,7,2016,5690081699
Icterus auratus,20.74621,-88.12389,2,2022,5690045325
Icterus auratus,20.659836,-87.037025,3,2016,5689999387
Icterus auratus,20.281775,-87.392784,3,2024,5689969798
Icterus auratus,20.310635,-88.33453,10,2024,5689860221
Icterus auratus,20.076708,-87.618004,12,2024,5689832508
Icterus auratus,19.81946,-90.576904,5,2016,5689444033
Icterus auratus,20.734142,-89.3061,4,2024,5689283880
Icterus auratus,21.191511,-88.16848,12,2023,5689186239
Icterus auratus,19.899492,-90.30853,4,2016,5689124467
Icterus auratus,20.16619,-87.659225,9,2024,5689102632
Icterus auratus,20.709877,-88.21661,5,2014,5689054726
Icterus auratus,20.850498,-87.25737,2,2015,5688990467
Icterus auratus,21.143969,-86.83783,2,2024,5688918560
Icterus auratus,18.788223,-90.654076,4,2024,5688869431
Icterus auratus,21.313845,-89.35395,11,2016,5688637220
Icterus auratus,20.61283,-87.087204,3,2001,5688432081
Icterus auratus,21.425774,-87.34112,6,2017,5688189774
Icterus auratus,21.568289,-88.17304,1,2024,5688181256
Icterus auratus,20.86214,-87.047165,2,2024,5688161093
Icterus auratus,20.63626,-87.05901,3,2020,5688043598
Icterus auratus,20.598953,-88.15516,3,2017,5687647981
Icterus auratus,20.077656,-87.61602,4,2024,5687542429
Icterus auratus,18.509192,-89.48564,12,2006,5687132767
Icterus auratus,18.440948,-88.36346,12,2024,5687126598
Icterus auratus,20.852379,-90.25967,6,2021,5687098908
Icterus auratus,21.031294,-89.23008,4,2024,5687021011
Icterus auratus,20.162321,-87.55443,2,2016,5686916987
